wallet,total_gp,genesis_gp,exodus_gp,bytes_amount,choice,choice_label,voted_at_utc,reason,vote_id
0x641daa44170d795982a54f05d0fc94c3d6293c51,7,1,6,21.6,4,10%,2026-05-27 00:26:57 UTC,,0xb93c160da44ab6d81babb3169053ea9800c7fd32a64cfd46b5dd1732b5f008a2
0xc60a2f17867250df53a097f436a35e94d1a2e0c1,6,5,1,21,3,5%,2026-05-26 16:55:32 UTC,,0x0f1aa33562e0957e0c6b13fc92d5232afbbc0d9a9a6fab996c5b821a316ccc82
0x96d24f4a636e47338142b012b2a89f1877f20a69,6,3,3,19.8,3,5%,2026-05-27 01:05:58 UTC,,0x8a9e351e486b2c502acce591cb31a93304b7f0d1226413ca943c85e6c5dd8ad0
0xa0793dcfdc22f953d852c90ebc001db7b247e0a2,6,3,3,19.8,4,10%,2026-05-26 20:56:54 UTC,,0x446e98e875e1ef56054949a4edbc2817b3676a7b0718267c45330704a2c08b8f
0xae2d4f6ad739a3797f1fe03175fd5034b39098c4,6,3,3,19.8,4,10%,2026-05-26 21:24:48 UTC,,0x72a9e3cf750062ce1fbc2755ab86cb9b70757d5bebabc39417a87dbcc3578c63
0x272ce9cf8f219a35501985bff7662a591a5d701e,5,3,2,16.8,4,10%,2026-05-28 20:07:59 UTC,,0x143c387d4ad6a1f8c6b5a0869516c5dc8b0c036fa0d2e6318607a3ab0a838d85
0xae800b7e4353f0559ccbf2dc8568230fe99336ca,4,4,0,14.4,3,5%,2026-05-27 15:20:50 UTC,,0x96a597d265dc2dc85b10e24e03a7895c2e2bbbc359ec1f8f8b91ba94a88438bc
0xde350ce2a0f5b9074ec2199bd5587de13af25a07,4,3,1,13.8,5,15%,2026-05-29 20:50:05 UTC,,0x5c16de444a573e02fb3240df52c1619b2e8e25bff3e9214d4d4932244e3b58f8
0x3e89ffbb1d600fc835fcbf689f1beccacfcb2237,3,3,0,10.8,3,5%,2026-05-27 14:30:39 UTC,,0x393cabe6583ecfefe74e43d4e3bbb218d5bcc5aaf79fb2643a99664e14655aa2
0x58e6a5cd87d38ae2c35007b1bd7b25026be9b0b1,3,3,0,10.8,5,15%,2026-05-26 18:35:35 UTC,,0x157d8b8e1052690d0919beb20ee25815c34f77220018856679e51887d5f3b556
0x8abb89650d25ea5a3b8585ce44580b74d418c3bf,3,3,0,10.8,4,10%,2026-05-31 22:10:08 UTC,,0x9fc3f421d78b17d4c47875a59af49716b2e93ce28efeecfca64ba7193fa5e6f7
0x918ea40816cf75fa7b987bdecac07327b9a42d3a,3,3,0,10.8,2,2.5%,2026-05-31 13:51:43 UTC,,0xacb774828e7f46a980cc6c52e93f9dad60d48e4154974fb678123adbd34a0871
0x9d44e6cd583318e4f350a3106ccbe94e7a6d5f32,3,3,0,10.8,4,10%,2026-05-26 16:46:13 UTC,,0x7d5835918741d9243af916ebd473ee714e0ef9a74d251eda1c0c7f292032388a
0xda3cfeb537203e63e6e3563d2c0fdd2669527d59,3,3,0,10.8,4,10%,2026-05-26 17:33:04 UTC,,0x3d2531588a40a14b7c665946129e7fc6e05729243a573bd67e8db504b3d017da
0x718622cf96bf6b3cd7060b4a33bef67bb171dc65,3,1,2,9.6,3,5%,2026-05-26 19:29:45 UTC,,0x3fc48e4f04a19d75ff441b1cbf27362c112c7504aed5ecb80d4f20a7ac9aced8
0x247aa513c50128ed396bba37b23a999e9014ed62,2,2,0,7.2,3,5%,2026-05-26 16:56:19 UTC,,0x71c781ae0a23bdd0a6e962e0658f923e173fa226c35973a01b4794f4162b772d
0xe594918090b819e098c96c15e096e09eaf5ff06a,2,2,0,7.2,5,15%,2026-05-27 08:02:53 UTC,,0x8d0a1d7858e0600aa5eebaa0961cb682e63b1f1a223ef3d017c41f4c813b33de
0xecbf2d79797c0adfdc790a4d6183422c5d48fa24,2,2,0,7.2,3,5%,2026-05-28 18:50:39 UTC,,0x759a2cc388e8d96a67b6be3a828094c06a2bfd8b6e6e045911293b10116bc01d
0x086c6b77caeb11b3a94fdd7b38d01db7c34e1c5f,2,1,1,6.6,1,0%,2026-05-26 18:06:56 UTC,,0xafc714b2529dbbdd5fe3a7a7a3f1e6eaea71fe742421bc7216ca75046d490ea5
0x6f06f82a6400c8cd1ff008725e0698b42e5b8ffd,2,1,1,6.6,2,2.5%,2026-05-26 17:48:14 UTC,,0xa35ce4d1e1dd53ce757c729821330803a80e744a228b1ba95e8c958cc9257e83
0xddb3dc32e66d1f2192dfe11a64a5d2b2557673c6,2,1,1,6.6,4,10%,2026-05-26 23:25:22 UTC,,0xb5263089e48147c40b26c0a619b00b15273ef52f63556fe1fa0c57a511b18a20
0x18a428ce0c31584a21cf8cefdb8849d8013e1994,1,1,0,3.6,3,5%,2026-05-26 16:45:30 UTC,,0xbbe3322d49a6fa8b3f291cab49fb3135bdceefe02c847e1c1c8a17bd4c954398
0x999baf549d6807b2c713ca112d81a0818eb09b80,1,1,0,3.6,3,5%,2026-05-27 21:08:37 UTC,,0xce7a8bc906e20143ceac588901d064e985b8c4c209fea6c0b5ad3e2ab9a1abf5
0xc0559e3b5825443abb3c2c2d45d5965038d59e63,1,1,0,3.6,4,10%,2026-05-27 04:16:29 UTC,,0x4069681996aaf60fadadf58a80a1dc1ab7ddcfc0d18a9c4b44ff0065171aaf38
0xb2f9b85b8ad7e2ba37c076501b03b842c1409878,1,0,1,3,5,15%,2026-05-26 18:36:58 UTC,,0x7844a74c786637ca4786476141281572b267738ab5f7a57f6b26def37154fdbf
