wallet,total_gp,genesis_gp,exodus_gp,bytes_amount,choice,choice_label,voted_at_utc,reason,vote_id
0x5e0effcd942fbab80567a623c25d3e8b795c0f38,123,36,87,390.6,3,5%,2026-05-27 20:55:20 UTC,,0xb1a974630980ba8cfc087ce03f59ac657c6affb9e0045fcd3f6205032f83b5a6
0x60ae1a2f572c6681d1c52342c5785d4840e29e7f,123,24,99,383.4,4,10%,2026-05-26 22:09:46 UTC,,0x8a01e36ce69acb5ad2c1c4b99e05d5a46a3651b7785ce3b85871f168b08d1242
0x1f200ba7b67f9618a34e11e3f67907407b7b54b5,77,7,70,235.2,4,10%,2026-05-26 16:56:25 UTC,,0x838856d7a070b8e5a05819b2ab467a69b75ddcc11e91375f26485b12862f79ac
0xc8ef2e76deae8394a632cd8403ce4b0993fd615a,63,23,40,202.8,4,10%,2026-05-28 23:50:22 UTC,,0x3c870bcfe34dbd305081b245c1726b20436f0f3deda002b344aebf69603273ff
0xf1181727cab6b9754321b8fc3f40e99c3dad7925,40,27,13,136.2,4,10%,2026-05-27 13:29:22 UTC,,0xaaa0f9e4c7204cb3613ecf3975657e88d5c47ef8eaef58c2af68c129d69d7235
0xe2876e6f82e946be5be75d6fdc3fc743340a9635,27,21,6,93.6,2,2.5%,2026-05-27 21:20:29 UTC,,0x450d43133daaea6dd2f893b5eadc09aa9ebadda623dc760d9a1f3b27beec41e1
0xa81606199932d4f9cac41778c52e061a7f153c43,22,21,1,78.6,4,10%,2026-05-29 03:16:17 UTC,,0x4639dcce7731b9652a4ccdcd446d6b422c942f5d5218e5376623c6bc6944ed11
0xd5ebe7486713b9dc52e3ec74f53b76e7ba9b24bc,24,3,21,73.8,2,2.5%,2026-05-27 22:54:55 UTC,,0x1e50ad031a684195d32da5ba888f59f939c02d03b32eb9451b3bb9fb455db34e
0x4368679c4782fcdd52b42fabf9b8dea103170fba,11,11,0,39.6,4,10%,2026-05-26 17:52:50 UTC,,0x684e838c5dab91b419b011f4105ea3fc2a87bbf17da3d396308a03876ac250ea
0xebd09d39dd7a7d661cf84992008030c5cd592a08,10,5,5,33,5,15%,2026-05-30 01:34:23 UTC,,0x20d5a1e8295139b246340913ab904e2a56dfaab8671ed89df9f4f8c2fa5bd496
0x952645c2f3e4cee95eb1342e590619d78679dc43,9,4,5,29.4,5,15%,2026-05-28 23:54:08 UTC,,0xee7d47daa22bfcfe4254b575b92b5f71069df93972f7f296aabf7a4e96fe019e
0x0b5bfb355f553a267460bb4cb1c768a8d4940687,9,3,6,28.8,4,10%,2026-05-26 16:43:38 UTC,,0x38024b333b74f827b3d9c4338856313c60d92b0f8ff05fe128c84e9a72097e11
0x43ec5640e18f7384761d8817aa55d38c9a03d855,8,3,5,25.8,4,10%,2026-05-26 18:08:10 UTC,,0x9922356822184b9d93a8cb8fd463870276d491a89c15f72f85a4e32504b1ac40
0x57af013384d969e4a838fdcecf6deee1d56172df,7,4,3,23.4,3,5%,2026-05-27 17:42:18 UTC,,0x056700c5bc7f9422d30943bed851c309e315403dc70723eb2feeb5fba4a55970
